代码,名称,ATR(14),ATR(50),BIAS(50),最大回撤,当前回撤,来源
159206,卫星,8.00%,6.35%,-19.77%,-38.9%,-35.8%,行业ETF
159259,成长ETF,7.90%,6.26%,-12.09%,-30.4%,-25.9%,宽基ETF
513310,中韩半导体,7.43%,7.78%,-10.64%,-32.2%,-22.3%,全球ETF
588000,科创50,7.40%,5.76%,-2.80%,-22.9%,-18.5%,宽基ETF
515880,通信设备,7.36%,6.87%,-15.86%,-31.5%,-29.2%,行业ETF
159967,创业板成长,7.19%,6.13%,-11.43%,-28.7%,-24.4%,宽基ETF
588220,科创100,7.15%,5.43%,-9.58%,-27.9%,-23.1%,宽基ETF
589720,科创新药,6.51%,4.82%,7.16%,-24.9%,-7.3%,行业ETF
159781,双创50,6.18%,5.29%,-7.55%,-23.7%,-19.4%,宽基ETF
513350,标普油气,5.64%,4.52%,1.16%,-35.7%,-26.8%,全球ETF
159608,稀有金属,5.18%,5.27%,-14.00%,-32.9%,-27.3%,行业ETF
159869,游戏,4.90%,3.94%,-7.61%,-30.5%,-28.4%,行业ETF
159562,黄金股,4.53%,4.38%,2.52%,-41.3%,-31.7%,行业ETF
159531,中证2000,4.51%,3.52%,-12.44%,-24.2%,-20.1%,宽基ETF
512660,军工,4.44%,3.74%,-11.31%,-30.7%,-27.5%,行业ETF
513120,港股创新药,4.36%,3.72%,7.62%,-27.0%,-11.8%,行业ETF
159652,有色,4.34%,4.45%,-5.25%,-30.7%,-24.4%,行业ETF
513780,港股通创新药,4.23%,3.64%,7.84%,-26.6%,-11.1%,行业ETF
510500,中证500,3.91%,3.16%,-7.52%,-17.9%,-14.6%,宽基ETF
159637,新能源车,3.85%,3.80%,-12.14%,-31.1%,-26.9%,行业ETF
513050,中概互联,3.80%,3.05%,0.48%,-28.4%,-17.0%,行业ETF
515220,煤炭,3.77%,4.01%,-2.01%,-25.4%,-17.0%,行业ETF
159755,电池ETF,3.72%,3.75%,-10.85%,-29.7%,-25.2%,行业ETF
516270,新能源,3.62%,3.81%,-13.46%,-29.6%,-24.6%,行业ETF
159129,化工,3.31%,3.44%,-5.08%,-23.1%,-18.4%,行业ETF
513260,恒生科技,3.15%,2.62%,-0.22%,-18.4%,-10.1%,宽基ETF
159697,石油,3.06%,2.44%,-0.36%,-33.0%,-27.7%,行业ETF
512690,白酒,2.99%,2.88%,-0.03%,-26.2%,-19.1%,行业ETF
159338,中证A500,2.84%,2.42%,-3.76%,-11.7%,-8.6%,宽基ETF
159981,能源化工ETF,2.77%,2.53%,-4.57%,-23.5%,-18.2%,商品ETF
159611,电力,2.61%,2.91%,-3.88%,-20.0%,-15.4%,行业ETF
520560,香港大盘30,2.44%,2.06%,2.14%,-17.9%,-7.6%,红利ETF
513750,港股通非银,2.35%,2.40%,2.87%,-16.5%,-7.5%,行业ETF
510300,沪深300,2.31%,2.04%,-2.32%,-9.9%,-6.6%,宽基ETF
159268,港股通消费,2.15%,2.00%,0.77%,-21.2%,-15.1%,行业ETF
159209,中证红利质量,2.09%,1.82%,0.54%,-17.9%,-13.1%,红利ETF
159232,中证现金流,2.04%,1.82%,-0.14%,-22.4%,-17.3%,红利ETF
560700,央企股东回报,2.04%,1.81%,0.26%,-15.0%,-10.8%,红利ETF
159222,自由现金流,1.92%,1.79%,0.30%,-24.5%,-17.6%,红利ETF
159207,智选高股息,1.86%,1.77%,0.81%,-12.7%,-5.5%,红利ETF
159263,价值100,1.84%,1.64%,1.82%,-16.6%,-8.6%,红利ETF
512040,国信价值,1.82%,1.67%,0.37%,-11.7%,-7.2%,红利ETF
515080,中证红利,1.81%,1.65%,1.35%,-14.6%,-6.9%,红利ETF
159569,港股通红利低波,1.81%,1.87%,2.33%,-17.7%,-7.0%,红利ETF
159905,深红利,1.78%,1.73%,0.51%,-14.8%,-10.0%,红利ETF
561580,央企红利,1.76%,1.60%,2.83%,-17.8%,-8.8%,红利ETF
159691,港股红利工银,1.76%,1.78%,-0.05%,-22.0%,-15.1%,红利ETF
563180,高息策略,1.72%,1.60%,3.24%,-15.3%,-5.6%,红利ETF
563020,红利低波,1.72%,1.51%,2.25%,-12.2%,-4.1%,红利ETF
520990,国新港股通红利,1.71%,1.73%,-0.83%,-19.3%,-12.6%,红利ETF
513920,恒生港股通央企,1.63%,1.66%,1.17%,-19.0%,-10.2%,红利ETF
159307,红利低波100,1.58%,1.46%,1.66%,-12.4%,-4.9%,红利ETF
159333,港股通央企红利,1.51%,1.54%,2.11%,-17.6%,-8.5%,红利ETF
159529,标普消费,1.50%,1.86%,-4.39%,-10.8%,-10.6%,全球ETF
513530,港股通高股息,1.40%,1.38%,2.99%,-14.7%,-3.9%,红利ETF
513850,美国50,1.40%,1.83%,-0.33%,-8.0%,-5.6%,全球ETF
159696,纳指,1.39%,2.05%,-3.08%,-10.4%,-9.8%,全球ETF
159655,标普,1.20%,1.43%,0.43%,-7.7%,-3.0%,全球ETF
513650,美国标普,1.19%,1.45%,0.42%,-8.6%,-3.1%,全球ETF
159980,有色ETF,1.02%,1.28%,0.12%,-9.2%,-4.7%,商品ETF
513400,道琼斯,0.98%,1.36%,0.79%,-9.3%,-4.6%,全球ETF
161226,国投白银LOF,0.00%,0.00%,0.00%,0.0%,0.0%,商品ETF
161129,原油LOF,0.00%,0.00%,0.00%,0.0%,0.0%,商品ETF
